"ID","Name"
"1245481","Fortinet-FortiSASE"
"1245514","Fortinet-FortiGuard.SOCaaS"
"1245546","Fortinet-FortiDLP.Cloud"
"1310721","Kaspersky-Web"
"1310722","Kaspersky-ICMP"
"1310723","Kaspersky-DNS"
"1310724","Kaspersky-Outbound_Email"
"1310726","Kaspersky-SSH"
"1310727","Kaspersky-FTP"
"1310728","Kaspersky-NTP"
"1310729","Kaspersky-Inbound_Email"
"1310734","Kaspersky-LDAP"
"1310735","Kaspersky-NetBIOS.Session.Service"
"1310736","Kaspersky-RTMP"
"1310744","Kaspersky-NetBIOS.Name.Service"
"1310720","Kaspersky-Other"
"1376257","McAfee-Web"
"1376258","McAfee-ICMP"
"1376259","McAfee-DNS"
"1376260","McAfee-Outbound_Email"
"1376262","McAfee-SSH"
"1376263","McAfee-FTP"
"1376264","McAfee-NTP"
"1376265","McAfee-Inbound_Email"
"1376270","McAfee-LDAP"
"1376271","McAfee-NetBIOS.Session.Service"
"1376272","McAfee-RTMP"
"1376280","McAfee-NetBIOS.Name.Service"
"1376256","McAfee-Other"
"1441793","Symantec-Web"
"1441794","Symantec-ICMP"
"1441795","Symantec-DNS"
"1441796","Symantec-Outbound_Email"
"1441798","Symantec-SSH"
"1441799","Symantec-FTP"
"1441800","Symantec-NTP"
"1441801","Symantec-Inbound_Email"
"1441806","Symantec-LDAP"
"1441807","Symantec-NetBIOS.Session.Service"
"1441808","Symantec-RTMP"
"1441816","Symantec-NetBIOS.Name.Service"
"1441792","Symantec-Other"
"1441922","Symantec-Symantec.Cloud"
"1507329","VMware-Web"
"1507330","VMware-ICMP"
"1507331","VMware-DNS"
"1507332","VMware-Outbound_Email"
"1507334","VMware-SSH"
"1507335","VMware-FTP"
"1507336","VMware-NTP"
"1507337","VMware-Inbound_Email"
"1507342","VMware-LDAP"
"1507343","VMware-NetBIOS.Session.Service"
"1507344","VMware-RTMP"
"1507352","VMware-NetBIOS.Name.Service"
"1507328","VMware-Other"
"1507461","VMware-Workspace.ONE"
"1572865","AOL-Web"
"1572866","AOL-ICMP"
"1572867","AOL-DNS"
"1572868","AOL-Outbound_Email"
"1572870","AOL-SSH"
"1572871","AOL-FTP"
"1572872","AOL-NTP"
"1572873","AOL-Inbound_Email"
"1572878","AOL-LDAP"
"1572879","AOL-NetBIOS.Session.Service"
"1572880","AOL-RTMP"
"1572888","AOL-NetBIOS.Name.Service"
"1572864","AOL-Other"
"1638401","RealNetworks-Web"
"1638402","RealNetworks-ICMP"
"1638403","RealNetworks-DNS"
"1638404","RealNetworks-Outbound_Email"
"1638406","RealNetworks-SSH"
"1638407","RealNetworks-FTP"
"1638408","RealNetworks-NTP"
"1638409","RealNetworks-Inbound_Email"
"1638414","RealNetworks-LDAP"
"1638415","RealNetworks-NetBIOS.Session.Service"
"1638416","RealNetworks-RTMP"
"1638424","RealNetworks-NetBIOS.Name.Service"
"1638400","RealNetworks-Other"
"1703937","Zoho-Web"
"1703938","Zoho-ICMP"
"1703939","Zoho-DNS"
"1703940","Zoho-Outbound_Email"
"1703942","Zoho-SSH"
"1703943","Zoho-FTP"
"1703944","Zoho-NTP"
"1703945","Zoho-Inbound_Email"
"1703950","Zoho-LDAP"
"1703951","Zoho-NetBIOS.Session.Service"
"1703952","Zoho-RTMP"
"1703960","Zoho-NetBIOS.Name.Service"
"1703936","Zoho-Other"
"1704153","Zoho-Site24x7.Monitor"
"1769473","Mozilla-Web"
"1769474","Mozilla-ICMP"
"1769475","Mozilla-DNS"
"1769476","Mozilla-Outbound_Email"
"1769478","Mozilla-SSH"
"1769479","Mozilla-FTP"
"1769480","Mozilla-NTP"
"1769481","Mozilla-Inbound_Email"
"1769486","Mozilla-LDAP"
"1769487","Mozilla-NetBIOS.Session.Service"
"1769488","Mozilla-RTMP"
"1769496","Mozilla-NetBIOS.Name.Service"
"1769472","Mozilla-Other"
"1835009","TeamViewer-Web"
"1835010","TeamViewer-ICMP"
"1835011","TeamViewer-DNS"
"1835012","TeamViewer-Outbound_Email"
"1835014","TeamViewer-SSH"
"1835015","TeamViewer-FTP"
"1835016","TeamViewer-NTP"
"1835017","TeamViewer-Inbound_Email"
"1835022","TeamViewer-LDAP"
"1835023","TeamViewer-NetBIOS.Session.Service"
"1835024","TeamViewer-RTMP"
"1835032","TeamViewer-NetBIOS.Name.Service"
"1835008","TeamViewer-Other"
"1835117","TeamViewer-TeamViewer"
"1900545","HP-Web"
"1900546","HP-ICMP"
"1900547","HP-DNS"
"1900548","HP-Outbound_Email"
"1900550","HP-SSH"
"1900551","HP-FTP"
"1900552","HP-NTP"
"1900553","HP-Inbound_Email"
"1900558","HP-LDAP"
"1900559","HP-NetBIOS.Session.Service"
"1900560","HP-RTMP"
"1900568","HP-NetBIOS.Name.Service"
"1900544","HP-Other"
"1900726","HP-Aruba"
"1966081","Cisco-Web"
"1966082","Cisco-ICMP"
"1966083","Cisco-DNS"
"1966084","Cisco-Outbound_Email"
"1966086","Cisco-SSH"
"1966087","Cisco-FTP"
"1966088","Cisco-NTP"
"1966089","Cisco-Inbound_Email"
"1966094","Cisco-LDAP"
"1966095","Cisco-NetBIOS.Session.Service"
"1966096","Cisco-RTMP"
"1966104","Cisco-NetBIOS.Name.Service"
"1966080","Cisco-Other"
"1966183","Cisco-Webex"
"1966218","Cisco-Meraki.Cloud"
"1966225","Cisco-Duo.Security"
"1966260","Cisco-AppDynamic"
"1966315","Cisco-Webex.FedRAMP"
"1966324","Cisco-Secure.Endpoint"
"2031617","IBM-Web"
"2031618","IBM-ICMP"
"2031619","IBM-DNS"
"2031620","IBM-Outbound_Email"
"2031622","IBM-SSH"
"2031623","IBM-FTP"
"2031624","IBM-NTP"
"2031625","IBM-Inbound_Email"
"2031630","IBM-LDAP"
